x_deb,y_deb,x_fin,y_fin,is_eating,type_of_pion,color
4,6,4,5,False
4,1,4,2,False
4,5,4,4,False
4,2,4,3,False
5,6,5,5,False
5,1,5,2,False
5,5,5,4,False
4,3,5,4,True,pions,1
4,4,4,3,False
5,2,4,3,True,pions,1
6,6,6,5,False
4,3,4,4,False
6,5,5,4,True,pions,2
4,4,4,5,False
3,6,4,5,True,pions,2
6,1,6,2,False
5,4,5,3,False
6,2,5,3,True,pions,1
5,7,1,3,False
3,1,3,2,False
1,3,4,0,True,roi,2
5,0,4,1,False
4,0,7,3,False
4,1,6,3,False
3,7,6,4,False
5,3,6,4,True,reine,1
7,3,6,4,True,pions,2
6,3,4,5,True,pions,1
4,7,4,6,False
4,5,3,6,False
2,7,3,6,True,fou,2
3,0,6,3,False
3,6,6,3,True,reine,2
7,1,7,2,False
6,3,7,2,True,pions,2
7,0,7,2,True,fou,1
7,6,7,5,False
7,2,7,5,True,pions,1
7,7,7,5,True,tour,2
6,0,5,2,False
6,4,5,5,False
5,2,6,4,False
5,5,6,4,True,cavalier,2
2,0,6,4,True,fou,1
7,5,5,5,False
6,4,5,5,True,tour,1
4,6,5,5,True,fou,2
3,2,3,3,False
